Keyword,immediate-early,#,    ,early,#,    ,latent,#,    ,late,#,    ,immediate-early (%),early (%),latent (%),late (%)
q00683_rep_u94,3.11,6,,2.85,5,,5.93,5,,2.58,5,,21.48,19.69,40.99,17.83
q69549_u14,0.25,1,,4.53,2,,0.00,0,,1.55,2,,3.95,71.62,0.00,24.43
p52354_u42,4.17,3,,2.14,2,,1.62,2,,1.75,3,,43.04,22.13,16.75,18.08
q69557_u22,1.85,3,,1.20,2,,1.49,3,,4.00,3,,21.67,14.05,17.46,46.82
p0doe0_q69572_u100,0.31,2,,0.33,2,,0.00,0,,3.20,2,,8.07,8.48,0.00,83.45
p24444_u67,0.20,1,,0.00,0,,0.00,0,,1.83,1,,9.84,0.00,0.00,90.16
mcp_p17887_u57,0.10,1,,0.24,1,,0.00,0,,1.75,2,,4.78,11.60,0.00,83.62
p52338_u41,0.54,2,,1.50,1,,0.00,0,,1.50,1,,15.32,42.34,0.00,42.34
p28864_p36319_u39,0.48,2,,0.42,1,,0.00,0,,1.50,1,,19.90,17.41,0.00,62.69
q89882_u95,1.48,4,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p27417_p52439_u27,0.11,1,,1.11,1,,0.00,0,,0.50,1,,6.45,64.52,0.00,29.03
q69569_u91,0.40,2,,0.67,1,,0.00,0,,0.00,0,,37.50,62.50,0.00,0.00
q69559_u24,0.14,1,,0.61,2,,0.00,0,,0.00,0,,18.99,81.01,0.00,0.00
p28857_u38,0.50,1,,0.17,1,,0.00,0,,0.20,1,,57.69,19.23,0.00,23.08
p52441_u33,0.10,1,,0.00,0,,0.00,0,,0.46,1,,17.91,0.00,0.00,82.09
p52343_u28,0.00,0,,0.43,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
q00701_u11,0.30,2,,0.14,1,,0.00,0,,0.00,0,,67.74,32.26,0.00,0.00
p24434_u54,0.25,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
q69561_u35,0.00,0,,0.17,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
bhrf1_q06094,0.00,0,,0.00,0,,0.17,1,,0.00,0,,0.00,0.00,100.00,0.00
p52460_u83,0.00,0,,0.00,0,,0.14,1,,0.00,0,,0.00,0.00,100.00,0.00
p52356_u77,0.14,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p52467_u43,0.12,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p52384_u40,0.00,0,,0.11,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p30002_p52340_u31,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
