Keyword,immediate-early,#,    ,early,#,    ,late,#,    ,latent,#,    ,immediate-early (%),early (%),late (%),latent (%)
p52355_u42,3.67,2,,1.14,1,,1.50,2,,1.62,2,,46.23,14.41,18.91,20.45
q69505_u24,0.00,0,,0.94,3,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p60505_p60506_u21,0.00,0,,0.00,0,,0.62,1,,0.00,0,,0.00,0.00,100.00,0.00
p50641_u28,0.00,0,,0.43,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
mcp_p52347,0.00,0,,0.00,0,,0.23,1,,0.00,0,,0.00,0.00,100.00,0.00
p52342_u38,0.00,0,,0.17,1,,0.20,1,,0.00,0,,0.00,45.45,54.55,0.00
p52357_u77,0.14,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p52519_u11,0.00,0,,0.14,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p52468_u43,0.12,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p52385_u40,0.00,0,,0.11,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
