Keyword,immediate-early,#,    ,early,#,    ,latent,#,    ,late,#,    ,immediate-early (%),early (%),latent (%),late (%)
icp0_p08393,181.56,166,,49.10,81,,36.15,40,,26.93,55,,61.81,16.71,12.31,9.17
icp4_ie175_p08392_rs1,148.05,152,,51.87,83,,6.16,18,,27.07,56,,63.50,22.25,2.64,11.61
dbp_icp8_p04296_p17469_p17470_ul29,14.03,31,,38.86,40,,0.50,3,,23.46,29,,18.26,50.57,0.65,30.53
icp22_p04485_us1,31.35,55,,9.25,20,,1.09,4,,7.43,19,,63.83,18.83,2.22,15.12
p04487_p56958_us11,15.80,21,,7.27,16,,0.14,1,,23.38,23,,33.91,15.61,0.31,50.18
p10228_p28986_ul44,4.09,10,,20.25,21,,0.47,2,,16.72,17,,9.85,48.76,1.13,40.26
p10238_p36295_ul54,16.77,19,,14.07,16,,0.00,0,,3.02,8,,49.53,41.56,0.00,8.91
p17586_p23210_p32888_ul38,0.95,4,,4.54,3,,0.00,0,,10.07,5,,6.11,29.17,0.00,64.72
p03176_p06478_p06479_p08333_p17402_q9qnf7_ul23,2.26,7,,8.21,6,,0.00,0,,5.64,5,,14.05,50.94,0.00,35.01
mcp_p06491,1.95,5,,4.35,9,,0.00,0,,7.35,9,,14.31,31.86,0.00,53.83
p03170_us12,6.34,5,,0.25,1,,0.00,0,,1.45,2,,78.85,3.11,0.00,18.04
p04292_p04293_p07917_p09854_ul30,3.08,9,,6.17,15,,0.20,1,,1.72,5,,27.58,55.27,1.79,15.36
p04486_p06492_ul48,3.71,11,,0.79,3,,0.00,0,,5.77,8,,36.12,7.71,0.00,56.17
p04413_us3,4.56,12,,2.15,8,,0.52,2,,2.92,9,,45.00,21.15,5.11,28.74
p08543_ul39,0.25,2,,4.09,6,,0.12,1,,2.82,5,,3.49,56.17,1.72,38.63
d3ypd5_p06486_us10,0.00,0,,0.49,2,,0.00,0,,3.64,2,,0.00,11.90,0.00,88.10
p10200_ul16,0.00,0,,0.39,2,,0.00,0,,3.60,1,,0.00,9.84,0.00,90.16
p04295_ul15,0.00,0,,1.27,1,,0.00,0,,3.54,1,,0.00,26.36,0.00,73.64
p06436_p06437_p08665_p10211_ul27,1.40,6,,1.40,3,,0.00,0,,3.38,3,,22.72,22.66,0.00,54.62
p10240_p36297_ul56,0.62,2,,3.02,3,,0.00,0,,3.31,4,,8.99,43.46,0.00,47.55
p10226_ul42,1.46,3,,3.23,4,,0.00,0,,0.64,1,,27.37,60.57,0.00,12.06
p10220_ul36,2.26,7,,2.90,10,,0.00,0,,3.23,9,,26.91,34.58,0.00,38.51
p10239_p36296_ul55,0.12,1,,0.10,1,,0.17,1,,3.16,4,,3.52,2.82,4.70,88.96
p10193_ul9,1.38,4,,2.85,3,,0.00,0,,1.88,1,,22.63,46.67,0.00,30.70
p06482_p10229_p28987_ul45,0.31,1,,0.00,0,,0.00,0,,2.85,2,,9.80,0.00,0.00,90.20
p10210_ul26,1.07,4,,2.62,2,,0.00,0,,1.40,4,,21.01,51.56,0.00,27.44
p08314_p10230_ul46,0.82,2,,1.07,2,,0.00,0,,2.39,2,,19.14,24.99,0.00,55.88
p10190_ul6,0.17,1,,0.51,2,,0.00,0,,2.38,5,,5.46,16.70,0.00,77.84
p10216_ul32,0.56,2,,0.24,1,,0.00,0,,2.31,2,,18.06,7.60,0.00,74.34
p06485_us2,1.67,4,,2.08,6,,0.11,1,,0.44,2,,38.81,48.29,2.58,10.32
p10189_ul5,1.18,4,,1.90,4,,0.00,0,,1.10,3,,28.14,45.58,0.00,26.28
p10225_q82171_ul41,1.11,7,,0.31,2,,0.00,0,,1.90,3,,33.44,9.37,0.00,57.20
p10233_ul49,0.62,2,,1.84,4,,0.31,1,,1.15,2,,15.77,46.86,7.94,29.43
p04290_ul13,1.26,3,,1.56,3,,0.00,0,,1.74,4,,27.53,34.29,0.00,38.19
a1z0q5_p06476_p36318_p57083_q05059_q69091_us6,0.10,1,,1.16,4,,0.00,0,,1.71,2,,3.36,39.07,0.00,57.57
p04291_ul14,0.57,2,,0.30,1,,0.20,1,,1.57,2,,21.50,11.38,7.59,59.54
p10221_ul37,1.33,4,,1.29,4,,0.00,0,,1.30,3,,34.02,32.78,0.00,33.20
p10215_ul31,0.00,0,,0.47,2,,0.00,0,,1.29,1,,0.00,26.59,0.00,73.41
p10219_scp_ul35,1.17,3,,0.54,2,,0.00,0,,0.53,3,,52.01,24.21,0.00,23.77
p10186_ul2,0.38,2,,1.17,3,,0.00,0,,0.50,1,,18.37,57.14,0.00,24.49
p10209_ul25,0.00,0,,1.16,3,,0.00,0,,0.67,2,,0.00,63.53,0.00,36.47
p10217_ul33,0.33,1,,1.04,3,,0.00,0,,0.00,0,,24.35,75.65,0.00,0.00
p10218_ul34,0.23,1,,0.99,3,,0.00,0,,0.14,1,,16.55,72.94,0.00,10.51
p08353_p36313_p37318_p37319_rl1,0.17,1,,0.25,1,,0.00,0,,0.91,1,,12.61,18.91,0.00,68.49
p10191_ul7,0.89,3,,0.00,0,,0.45,2,,0.00,0,,66.46,0.00,33.54,0.00
p10234_ul50,0.10,1,,0.45,2,,0.00,0,,0.75,2,,7.69,34.62,0.00,57.69
p06490_p10212_p12835_ul28,0.71,2,,0.33,2,,0.00,0,,0.46,1,,47.32,22.18,0.00,30.50
p08313_p10231_ul47,0.53,3,,0.69,5,,0.25,1,,0.33,3,,29.50,38.35,13.98,18.17
p10236_ul52,0.51,3,,0.67,4,,0.00,0,,0.24,2,,36.01,47.36,0.00,16.63
p06474_p10224_ul40,0.00,0,,0.67,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p06480_us5,0.00,0,,0.00,0,,0.00,0,,0.64,2,,0.00,0.00,0.00,100.00
p06487_us7,0.24,2,,0.20,1,,0.00,0,,0.62,2,,22.25,18.85,0.00,58.90
p06481_us9,0.00,0,,0.61,2,,0.00,0,,0.10,1,,0.00,85.94,0.00,14.06
p03178_p68331_p68332_p68333_q07005_ul53,0.50,1,,0.10,1,,0.00,0,,0.60,2,,41.67,8.33,0.00,50.00
p06477_p08356_q9dhd5_ul22,0.00,0,,0.47,3,,0.00,0,,0.54,3,,0.00,46.15,0.00,53.85
p10235_ul51,0.11,1,,0.00,0,,0.00,0,,0.53,2,,17.24,0.00,0.00,82.76
p10208_ul24,0.00,0,,0.00,0,,0.51,2,,0.17,1,,0.00,0.00,75.35,24.65
p04488_q703f0_us8,0.11,1,,0.00,0,,0.00,0,,0.50,1,,18.18,0.00,0.00,81.82
p10201_ul17,0.00,0,,0.50,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p04294_ul12,0.00,0,,0.33,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p10227_ul43,0.32,3,,0.20,1,,0.00,0,,0.11,1,,50.88,31.58,0.00,17.54
p10187_q1xbw5_ul3,0.12,1,,0.30,1,,0.00,0,,0.00,0,,29.41,70.59,0.00,0.00
p10202_ul18,0.00,0,,0.27,2,,0.00,0,,0.25,1,,0.00,51.72,0.00,48.28
p09855_p10205_ul21,0.10,1,,0.27,1,,0.00,0,,0.00,0,,27.18,72.82,0.00,0.00
p10192_ul8,0.25,1,,0.20,1,,0.00,0,,0.00,0,,55.56,44.44,0.00,0.00
p06484_us4,0.00,0,,0.21,2,,0.00,0,,0.17,1,,0.00,55.88,0.00,44.12
p10188_ul4,0.11,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p04289_q68980_ul11,0.00,0,,0.00,0,,0.00,0,,0.10,1,,0.00,0.00,0.00,100.00
