Keyword,immediate-early,#,    ,early,#,    ,late,#,    ,latent,#,    ,immediate-early (%),early (%),late (%),latent (%)
lana1_orf73_q9qr71,5.38,10,,5.65,11,,1.43,8,,90.52,92,,5.22,5.49,1.39,87.90
f5hcv3_orf50,28.00,44,,21.74,36,,8.14,20,,14.87,37,,38.48,29.89,11.19,20.44
f5hid2_orf59,5.17,8,,22.91,30,,12.62,22,,7.44,15,,10.75,47.59,26.21,15.45
orf57_q2hr75,10.00,15,,18.53,26,,11.25,17,,6.20,21,,21.75,40.31,24.46,13.48
orf65_q2hr63_scp,2.91,4,,7.28,13,,17.97,19,,9.77,10,,7.67,19.20,47.38,25.75
orf72_q77q36,1.89,3,,0.50,1,,0.12,1,,15.77,23,,10.35,2.73,0.68,86.23
f5hez4_orf71,0.20,1,,0.00,0,,0.00,0,,12.93,22,,1.52,0.00,0.00,98.48
mcp_orf25_q2hra7,1.31,7,,2.87,10,,12.05,20,,2.15,7,,7.11,15.62,65.56,11.71
f5hde4_orf45,11.41,15,,5.98,15,,3.03,10,,0.80,4,,53.76,28.18,14.28,3.78
dbp_orf6_q2hrd3,1.84,3,,9.32,12,,3.64,8,,1.43,3,,11.35,57.41,22.41,8.83
orf34_q2hr98,0.96,1,,0.62,3,,6.37,5,,0.79,1,,10.99,7.08,72.93,9.00
f5hgn8_orf26,0.62,3,,2.44,5,,6.35,6,,2.51,5,,5.20,20.44,53.33,21.03
k12_q77q38,0.00,0,,0.33,1,,0.83,2,,6.01,16,,0.00,4.65,11.62,83.74
k15_q9qr69,0.47,1,,2.77,4,,1.07,3,,4.69,15,,5.20,30.82,11.87,52.12
orf20_q2hrb2,0.30,1,,1.07,1,,4.31,2,,0.00,0,,5.28,18.83,75.89,0.00
orf52_q2hr80,0.17,1,,2.00,2,,4.29,2,,0.33,1,,2.45,29.47,63.17,4.91
orf54_q2hr78,0.00,0,,2.18,2,,0.31,1,,3.88,3,,0.00,34.19,4.86,60.95
orf48_q2hr85,3.36,5,,0.34,2,,0.17,1,,0.11,1,,84.40,8.62,4.19,2.79
f5hgj3_orf16_vbcl2,3.18,3,,0.37,1,,1.29,3,,1.06,3,,53.95,6.23,21.84,17.98
orf18_q2hrb4,0.10,1,,1.00,2,,2.87,7,,0.00,0,,2.52,25.19,72.29,0.00
f5hf68_virf-1,0.00,0,,2.70,2,,0.59,2,,1.22,4,,0.00,59.82,13.05,27.14
orf37_q2hr95,1.20,2,,2.58,6,,2.00,3,,1.00,1,,17.71,38.02,29.52,14.76
f5hgb6_orf29,1.00,1,,2.10,1,,2.29,3,,0.00,0,,18.55,38.95,42.50,0.00
f5hin0_orf56,0.00,0,,1.50,1,,2.17,1,,0.25,1,,0.00,38.30,55.32,6.38
f5hgh5_orf36_vpk,1.00,1,,2.13,5,,1.33,4,,0.84,1,,18.90,40.24,25.06,15.80
orf74_q98146,0.53,3,,2.12,3,,0.95,1,,1.27,6,,10.98,43.45,19.52,26.05
f5hfa1_orf46,1.58,2,,2.11,2,,0.78,2,,1.22,2,,27.79,37.05,13.75,21.42
f5haw0_orf60,0.20,1,,2.00,2,,0.50,1,,0.00,0,,7.41,74.07,18.52,0.00
orf75_q9qr70,0.55,1,,0.91,3,,0.31,2,,1.84,6,,15.28,25.16,8.56,51.00
orf19_q2hrb3,0.25,1,,1.11,1,,1.81,3,,0.33,1,,7.13,31.71,51.64,9.51
k14_p0c788,0.20,1,,1.73,4,,0.17,1,,1.54,6,,5.50,47.68,4.58,42.24
f5h8y5_orf62,0.00,0,,0.62,3,,1.73,3,,0.73,2,,0.00,20.31,56.09,23.60
f5hi25_orf28,0.34,1,,0.00,0,,1.73,3,,0.00,0,,16.58,0.00,83.42,0.00
f5hfd2_orf24,0.31,1,,0.10,1,,1.63,5,,0.39,2,,12.76,4.10,67.01,16.12
f5heu7_orf63,1.61,1,,0.66,2,,0.50,2,,0.25,1,,53.36,21.80,16.56,8.28
orf64_q2hr64,0.10,1,,1.58,4,,1.34,3,,0.58,2,,2.78,43.95,37.09,16.19
f5hhy1_orf38,0.00,0,,1.11,1,,1.29,2,,0.25,1,,0.00,41.98,48.58,9.45
f5hb81_orf8,1.03,2,,0.76,3,,1.11,4,,0.33,2,,32.00,23.52,34.41,10.07
f5h982_orf69,0.14,1,,0.33,1,,1.00,1,,0.50,2,,7.23,16.87,50.60,25.30
f5hdd0_orf39,0.98,2,,1.00,1,,0.20,1,,0.25,1,,40.24,41.22,8.24,10.30
f5hgk9_orf43,0.00,0,,1.00,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
f5hdy6_orf27,0.94,3,,0.00,0,,0.12,1,,0.00,0,,88.31,0.00,11.69,0.00
orf10_q2hrc9,0.89,3,,0.25,1,,0.00,0,,0.00,0,,78.04,21.96,0.00,0.00
orf4_q2hrd4,0.61,2,,0.87,2,,0.74,3,,0.60,2,,21.67,30.73,26.34,21.27
f5hic6_virf-3,0.00,0,,0.00,0,,0.00,0,,0.82,4,,0.00,0.00,0.00,100.00
f5hef2_orf33,0.17,1,,0.00,0,,0.75,2,,0.00,0,,18.18,0.00,81.82,0.00
orf9_q2hrd0,0.75,2,,0.62,2,,0.20,1,,0.11,1,,44.48,37.07,11.86,6.59
orf2_q2hrc6,0.00,0,,0.25,1,,0.00,0,,0.66,1,,0.00,27.49,0.00,72.51
orf61_q2hr67,0.25,1,,0.64,2,,0.21,2,,0.00,0,,22.61,58.29,19.10,0.00
orf31_q2hra1,0.14,1,,0.12,1,,0.64,2,,0.00,0,,15.69,13.73,70.59,0.00
f5hes7_orf30,0.12,1,,0.11,1,,0.62,3,,0.00,0,,14.66,13.03,72.31,0.00
orf49_q2hr83,0.00,0,,0.56,3,,0.10,1,,0.20,1,,0.00,65.16,11.61,23.23
f5him6_orf23,0.00,0,,0.00,0,,0.56,2,,0.00,0,,0.00,0.00,100.00,0.00
f5h9w4_orf67a,0.00,0,,0.22,1,,0.50,1,,0.00,0,,0.00,30.77,69.23,0.00
q2hr71_virf-2,0.00,0,,0.42,1,,0.11,1,,0.00,0,,0.00,79.17,20.83,0.00
q2hr73_virf-4,0.00,0,,0.00,0,,0.39,1,,0.00,0,,0.00,0.00,100.00,0.00
f5hb62_orf21,0.00,0,,0.11,1,,0.33,1,,0.00,0,,0.00,25.00,75.00,0.00
f5had1_orf58,0.11,1,,0.27,2,,0.25,2,,0.00,0,,17.59,42.21,40.20,0.00
f5ha27_orf67,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
f5hf47_orf68,0.00,0,,0.00,0,,0.00,0,,0.20,1,,0.00,0.00,0.00,100.00
orf44_q2hr89,0.00,0,,0.00,0,,0.00,0,,0.20,1,,0.00,0.00,0.00,100.00
f5hcd4_orf35,0.00,0,,0.00,0,,0.12,1,,0.00,0,,0.00,0.00,100.00,0.00
f5hg20_orf66,0.00,0,,0.00,0,,0.11,1,,0.00,0,,0.00,0.00,100.00,0.00
orf17_q2hrb6,0.00,0,,0.00,0,,0.10,1,,0.00,0,,0.00,0.00,100.00,0.00
f5hai6_orf42,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
