Keyword,immediate-early,#,    ,early,#,    ,late,#,    ,latent,#,    ,immediate-early (%),early (%),late (%),latent (%)
orf63_p09255_q77nn7,4.04,5,,0.79,2,,1.03,4,,1.60,4,,54.11,10.61,13.85,21.44
orf50_p09298_q77np2,2.74,5,,1.75,2,,0.50,1,,0.77,3,,47.63,30.38,8.68,13.31
dbp_orf29_p09246_q4jqu6,0.00,0,,2.10,1,,2.48,4,,0.00,0,,0.00,45.90,54.10,0.00
orf62_orf71_p09310_q8azm1,2.41,5,,0.36,2,,0.74,3,,0.85,3,,55.30,8.29,16.89,19.52
orf65_p09312_q77nn6,0.53,1,,1.33,1,,2.20,2,,0.14,1,,12.67,31.67,52.26,3.39
orf57_p09305_q77nn9,1.57,2,,2.06,4,,1.65,4,,0.47,1,,27.29,35.85,28.74,8.12
orf59_p09307_q9j3n2,1.33,1,,2.00,1,,1.43,2,,0.20,1,,26.85,40.27,28.86,4.03
mcp_p09245,0.10,1,,0.90,3,,1.37,4,,0.00,0,,4.22,38.04,57.74,0.00
orf4_p09269_q4jqx1,0.81,2,,0.00,0,,0.27,1,,0.00,0,,75.22,0.00,24.78,0.00
orf1_p09266_q4jqx4,0.00,0,,0.79,2,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf46_p09295_q4jqs9,0.00,0,,0.00,0,,0.00,0,,0.78,1,,0.00,0.00,0.00,100.00
orf10_p09265_q4jqw5,0.53,3,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
orf11_p09263_q4jqw4,0.50,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
orf47_p09296_q6yp73,0.17,1,,0.00,0,,0.50,1,,0.00,0,,25.00,0.00,75.00,0.00
orf36_p09250_p0c0e6,0.00,0,,0.00,0,,0.36,2,,0.00,0,,0.00,0.00,100.00,0.00
orf9_p09272_q4jqw6,0.00,0,,0.17,1,,0.33,1,,0.00,0,,0.00,33.33,66.67,0.00
orf67_p09258_q77nn4,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf58_p09306_q9j3n3,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf6_p09270_q4jqw9,0.00,0,,0.20,1,,0.14,1,,0.00,0,,0.00,58.33,41.67,0.00
orf18_p09247_q4jqv7,0.00,0,,0.00,0,,0.14,1,,0.00,0,,0.00,0.00,100.00,0.00
orf2_p09267_q4jqx3,0.00,0,,0.12,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf49_p09297_q77np3,0.00,0,,0.12,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf22_p09278_q4jqx9,0.00,0,,0.00,0,,0.10,1,,0.00,0,,0.00,0.00,100.00,0.00
orf37_p09260_q775j3,0.00,0,,0.10,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
