Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
q3kss8_bzlf1_p03206_q1hvg1,255.75,216,,62.23,109,,0.00,0,,22.25,42,,75.17,18.29,0.00,6.54
brlf1_p03209_q1hvg0_q3kss7,116.38,102,,35.73,55,,0.00,0,,4.98,14,,74.08,22.75,0.00,3.17
q3ksu3_p03191_p0c6z0_bmrf1,9.78,25,,80.02,61,,0.00,0,,27.54,23,,8.34,68.19,0.00,23.47
p0c731_p0c6z8_p13288_bglf4,1.15,5,,21.05,14,,0.50,1,,57.25,7,,1.44,26.33,0.63,71.60
p25215_p0c6z6_p03180_p0cap9_bcrf1,0.78,5,,7.00,10,,0.00,0,,43.12,20,,1.54,13.75,0.00,84.71
p03182_p0c6z1_p0c736_bhrf1,6.91,14,,36.97,42,,0.00,0,,6.89,13,,13.62,72.81,0.00,13.57
bglf3_p03220,0.00,0,,6.66,4,,0.00,0,,32.13,4,,0.00,17.17,0.00,82.83
p29362_p03230_lmp1_p13198_q1hvb3_p0c741,23.47,35,,29.02,64,,0.00,0,,6.98,23,,39.47,48.79,0.00,11.74
scp_p14348_bfrf3,3.58,8,,6.73,8,,0.00,0,,23.85,13,,10.49,19.71,0.00,69.80
p0c703_p0c704_mcp_p03226_bclf1,3.86,9,,3.40,16,,0.00,0,,21.04,20,,13.63,12.02,0.00,74.35
q1hvh9_bplf1_q3ksu8_p03186,0.71,3,,2.35,5,,0.00,0,,19.68,8,,3.13,10.33,0.00,86.54
bnlf2a_p0c739_p0c738_p0c737,12.05,7,,19.21,16,,0.00,0,,5.31,5,,32.95,52.52,0.00,14.52
p0cw72_p0c701_p0cap7_p03228_p0c6n0_p0cap6_barf1,4.61,7,,19.20,19,,0.00,0,,1.81,4,,17.98,74.95,0.00,7.07
ebna2_p12978_q3ksv2_q69022,8.25,18,,18.47,47,,0.00,0,,2.98,7,,27.79,62.19,0.00,10.02
balf2_q1hvb8_q3ksn9_p03227_dbp,4.76,14,,18.31,21,,0.33,1,,8.52,9,,14.90,57.36,1.04,26.70
ebna1_p03211_q1hvf7_q3kss4,11.16,31,,17.42,48,,0.00,0,,1.63,8,,36.95,57.65,0.00,5.40
q3ksr5_bglf5_q1hve7_p03217,4.81,7,,17.36,12,,0.00,0,,4.12,7,,18.30,66.02,0.00,15.67
p0c722_p03207_brrf1_p0c723,0.81,1,,14.10,10,,0.00,0,,1.47,3,,4.94,86.08,0.00,8.98
bllf1_p68343_p68344_p03200,0.95,6,,3.31,9,,0.00,0,,13.85,11,,5.25,18.26,0.00,76.49
p0ck50_p0ck49_bsrf1_p0ck62,0.00,0,,4.12,2,,0.00,0,,10.63,2,,0.00,27.92,0.00,72.08
p0c717_q3kst5_p03197_blrf2,0.00,0,,1.33,5,,0.00,0,,10.51,7,,0.00,11.26,0.00,88.74
p0ck57_bdlf4_p0ck56,0.21,2,,2.50,3,,0.00,0,,10.06,8,,1.65,19.61,0.00,78.74
p0c763_p0c762_balf4_p03188,1.07,4,,1.77,7,,0.00,0,,9.92,8,,8.41,13.86,0.00,77.73
