Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
p90493_icp4_rs1,88.79,95,,24.44,46,,0.11,1,,10.51,32,,71.69,19.73,0.09,8.49
ul54_p28276,17.60,15,,7.30,11,,1.00,1,,1.93,5,,63.26,26.23,3.59,6.92
us11_p89479,6.60,12,,4.79,10,,0.00,0,,17.06,15,,23.19,16.84,0.00,59.96
ul29_p36384_p89452_icp8,5.60,12,,12.75,14,,0.33,1,,6.58,11,,22.18,50.46,1.32,26.04
p89474_p14379_us1,9.95,11,,1.08,3,,0.00,0,,0.46,2,,86.58,9.43,0.00,3.99
p14345_p60504_us12,6.35,6,,0.00,0,,0.00,0,,1.26,2,,83.43,0.00,0.00,16.57
p03173_q89730_ul44_p06475,2.12,4,,5.64,7,,1.50,1,,3.72,5,,16.33,43.46,11.55,28.66
p89442_ul19_mcp,0.51,2,,0.44,2,,0.33,1,,5.13,4,,7.94,6.93,5.20,79.93
ul55_p28281,0.33,2,,0.50,1,,0.20,1,,4.72,3,,5.66,8.70,3.48,82.16
p13287_us3,4.61,9,,0.58,4,,0.00,0,,1.70,6,,66.90,8.39,0.00,24.71
p28284_rl2,3.94,5,,0.28,1,,0.00,0,,0.21,2,,88.95,6.28,0.00,4.77
p89439_ul16,0.10,1,,0.42,2,,0.00,0,,3.60,1,,2.43,10.13,0.00,87.44
p89438_ul15,0.00,0,,0.70,2,,0.00,0,,3.28,1,,0.00,17.60,0.00,82.40
p28282_ul56,0.62,2,,2.94,2,,0.00,0,,3.11,3,,9.36,44.07,0.00,46.57
p08666_p24994_ul27_p06763,1.22,5,,1.00,1,,0.00,0,,3.00,2,,23.36,19.16,0.00,57.48
p89478_us10,0.00,0,,0.56,2,,0.00,0,,2.79,1,,0.00,16.67,0.00,83.33
ul37_p89460,2.76,5,,0.89,4,,0.00,0,,0.68,2,,63.74,20.63,0.00,15.63
ul31_p89454,0.00,0,,0.47,2,,0.00,0,,2.49,6,,0.00,15.81,0.00,84.19
p89466_ul46,0.82,2,,1.07,2,,0.00,0,,2.39,2,,19.14,24.99,0.00,55.88
ul23_p89446,0.83,2,,2.00,2,,0.25,1,,2.33,3,,15.27,36.97,4.62,43.13
ul36_p89459,0.37,1,,0.74,3,,0.00,0,,2.20,4,,11.09,22.27,0.00,66.64
ul48_p68336_p68335,2.13,6,,0.46,2,,0.00,0,,0.37,3,,72.08,15.49,0.00,12.43
ul4_p28280,0.11,1,,2.10,2,,0.00,0,,0.25,1,,4.51,85.19,0.00,10.30
p89463_ul42,1.43,2,,1.92,1,,0.00,0,,0.64,1,,35.90,48.00,0.00,16.10
q69467_p03172_us6,0.33,1,,0.66,3,,0.00,0,,1.71,2,,12.32,24.44,0.00,63.24
ul34_p89457,0.23,1,,0.42,2,,0.00,0,,1.50,6,,10.51,19.46,0.00,70.04
p22486_ul38_p89461,0.79,2,,0.00,0,,0.00,0,,1.50,1,,34.55,0.00,0.00,65.45
p68339_p68340_ul41_o39988,0.98,5,,1.41,4,,0.00,0,,1.20,1,,27.28,39.28,0.00,33.44
p22485_ul53,1.25,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
ul14_p89437,0.37,1,,0.20,1,,0.00,0,,1.22,2,,20.50,11.18,0.00,68.32
ul50_p89469,0.10,1,,1.20,2,,1.00,1,,0.00,0,,4.35,52.17,43.48,0.00
ul39_p89462,0.28,2,,1.20,4,,0.50,1,,0.60,3,,10.76,46.48,19.37,23.39
us9_p89477,0.95,2,,0.00,0,,0.00,0,,0.10,1,,90.48,0.00,0.00,9.52
ul21_p89444,0.00,0,,0.93,3,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p28283_rl1,0.40,2,,0.25,1,,0.00,0,,0.92,1,,25.53,15.96,0.00,58.51
p89430_ul7,0.82,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p89467_ul47,0.76,4,,0.56,4,,0.00,0,,0.33,3,,46.21,34.06,0.00,19.73
ul5_p28277,0.10,1,,0.75,2,,0.00,0,,0.35,1,,8.33,62.77,0.00,28.91
