Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
icp0_p08393,196.59,175,,52.29,87,,0.48,1,,28.67,60,,70.71,18.81,0.17,10.31
icp4_ie175_p08392_rs1,157.50,163,,52.62,88,,2.11,2,,28.29,61,,65.48,21.88,0.88,11.76
icp22_p04485_us1,45.40,63,,9.77,22,,0.14,1,,8.18,23,,71.50,15.39,0.22,12.89
dbp_icp8_p04296_p17469_p17470_ul29,14.03,31,,38.86,40,,0.33,1,,23.59,30,,18.27,50.59,0.43,30.71
p04487_p56958_us11,15.80,21,,7.02,16,,0.00,0,,25.05,24,,33.00,14.67,0.00,52.33
p10228_p28986_ul44,3.76,9,,19.25,20,,3.33,3,,15.72,16,,8.93,45.77,7.92,37.38
p10238_p36295_ul54,19.22,20,,14.74,18,,1.00,1,,3.33,9,,50.20,38.50,2.61,8.69
p17586_p23210_p32888_ul38,1.07,5,,5.07,4,,0.00,0,,10.67,6,,6.39,30.16,0.00,63.44
p03176_p06478_p06479_p08333_p17402_q9qnf7_ul23,2.26,7,,8.21,6,,0.25,1,,5.64,5,,13.83,50.16,1.53,34.48
mcp_p06491,1.95,5,,4.35,9,,0.36,1,,7.60,10,,13.70,30.50,2.53,53.27
p03170_us12,6.34,5,,0.25,1,,0.00,0,,1.45,2,,78.85,3.11,0.00,18.04
p04292_p04293_p07917_p09854_ul30,3.08,9,,6.17,15,,0.00,0,,1.72,5,,28.08,56.27,0.00,15.65
p04486_p06492_ul48,3.71,11,,1.21,4,,0.50,1,,5.77,8,,33.16,10.80,4.47,51.56
p04413_us3,5.41,13,,2.15,8,,0.00,0,,3.25,11,,50.07,19.86,0.00,30.07
p10220_ul36,2.26,7,,4.31,12,,0.00,0,,4.50,10,,20.38,38.99,0.00,40.63
p06436_p06437_p08665_p10211_ul27,1.40,6,,1.40,3,,0.00,0,,4.38,4,,19.56,19.50,0.00,60.94
p08543_ul39,0.25,2,,4.09,6,,0.50,1,,2.82,5,,3.31,53.42,6.53,36.74
p03178_p68331_p68332_p68333_q07005_ul53,1.25,2,,0.10,1,,0.00,0,,4.02,3,,23.22,1.86,0.00,74.91
p10218_ul34,3.80,2,,0.99,3,,0.00,0,,0.27,2,,75.11,19.60,0.00,5.29
d3ypd5_p06486_us10,0.00,0,,0.49,2,,0.00,0,,3.64,2,,0.00,11.90,0.00,88.10
p10200_ul16,0.10,1,,0.39,2,,0.00,0,,3.60,1,,2.44,9.60,0.00,87.95
p04295_ul15,0.00,0,,1.52,2,,0.00,0,,3.54,1,,0.00,30.00,0.00,70.00
p10217_ul33,3.40,2,,1.04,3,,0.00,0,,0.00,0,,76.65,23.35,0.00,0.00
p10240_p36297_ul56,0.62,2,,3.02,3,,0.00,0,,3.31,4,,8.99,43.46,0.00,47.55
p10226_ul42,1.46,3,,3.23,4,,0.00,0,,0.64,1,,27.37,60.57,0.00,12.06
p09855_p10205_ul21,3.21,2,,0.27,1,,0.00,0,,0.50,1,,80.71,6.73,0.00,12.56
p10239_p36296_ul55,0.12,1,,0.10,1,,0.20,1,,3.16,4,,3.49,2.79,5.59,88.13
