Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
orf63_p09255_q77nn7,7.30,8,,0.79,2,,0.00,0,,1.03,4,,80.00,8.68,0.00,11.33
orf50_p09298_q77np2,5.20,8,,1.75,2,,0.00,0,,0.50,1,,69.81,23.48,0.00,6.71
orf62_orf71_p09310_q8azm1,4.55,6,,0.36,2,,0.00,0,,0.74,3,,80.58,6.39,0.00,13.03
orf4_p09269_q4jqx1,2.72,5,,0.00,0,,0.00,0,,0.27,1,,91.07,0.00,0.00,8.93
dbp_orf29_p09246_q4jqu6,1.50,2,,2.10,1,,0.00,0,,2.48,4,,24.69,34.57,0.00,40.74
orf65_p09312_q77nn6,0.53,1,,1.33,1,,0.00,0,,2.20,2,,13.11,32.79,0.00,54.10
orf57_p09305_q77nn9,1.68,3,,2.06,4,,0.00,0,,1.65,4,,31.15,38.21,0.00,30.64
orf59_p09307_q9j3n2,1.33,1,,2.00,1,,0.00,0,,1.43,2,,27.97,41.96,0.00,30.07
orf10_p09265_q4jqw5,1.69,6,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
mcp_p09245,0.10,1,,0.90,3,,0.00,0,,1.37,4,,4.22,38.04,0.00,57.74
orf18_p09247_q4jqv7,1.00,1,,0.00,0,,0.00,0,,0.14,1,,87.50,0.00,0.00,12.50
orf1_p09266_q4jqx4,0.43,1,,0.79,2,,0.00,0,,0.00,0,,35.37,64.63,0.00,0.00
orf47_p09296_q6yp73,0.31,2,,0.00,0,,0.00,0,,0.50,1,,38.24,0.00,0.00,61.76
orf11_p09263_q4jqw4,0.50,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
orf36_p09250_p0c0e6,0.00,0,,0.00,0,,0.00,0,,0.36,2,,0.00,0.00,0.00,100.00
orf9_p09272_q4jqw6,0.00,0,,0.17,1,,0.00,0,,0.33,1,,0.00,33.33,0.00,66.67
orf67_p09258_q77nn4,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf58_p09306_q9j3n3,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf6_p09270_q4jqw9,0.00,0,,0.20,1,,0.00,0,,0.14,1,,0.00,58.33,0.00,41.67
orf52_p09300_q9j3n6,0.17,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
orf49_p09297_q77np3,0.14,1,,0.12,1,,0.00,0,,0.00,0,,53.33,46.67,0.00,0.00
orf2_p09267_q4jqx3,0.00,0,,0.12,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf22_p09278_q4jqx9,0.00,0,,0.00,0,,0.00,0,,0.10,1,,0.00,0.00,0.00,100.00
orf37_p09260_q775j3,0.00,0,,0.10,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
