Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
bzlf1_p03206_q1hvg1_q3kss8,156.30,144,,63.55,100,,0.00,0,,22.50,43,,64.50,26.22,0.00,9.28
bmrf1_p03191_p0c6z0_q3ksu3,10.92,26,,73.37,53,,0.00,0,,27.39,23,,9.78,65.70,0.00,24.52
bglf4_p0c6z8_p0c731_p13288,0.85,2,,19.85,13,,0.50,1,,57.13,7,,1.09,25.34,0.64,72.94
brlf1_p03209_q1hvg0_q3kss7,56.67,67,,33.31,45,,0.00,0,,5.00,15,,59.66,35.07,0.00,5.27
bcrf1_p03180_p0c6z6_p0cap9_p25215,0.56,5,,7.02,9,,0.00,0,,41.29,18,,1.15,14.37,0.00,84.48
bglf3_p03220,0.00,0,,11.27,4,,0.00,0,,36.46,4,,0.00,23.61,0.00,76.39
bhrf1_p03182_p0c6z1_p0c736,3.62,8,,36.13,40,,0.00,0,,6.89,13,,7.76,77.47,0.00,14.77
lmp1_p03230_p0c741_p13198_p29362_q1hvb3,9.99,14,,29.04,62,,0.00,0,,6.98,23,,21.71,63.12,0.00,15.17
bnlf2a_p0c737_p0c738_p0c739,15.03,7,,25.49,17,,0.00,0,,7.13,6,,31.53,53.50,0.00,14.97
bfrf3_p14348_scp,0.42,3,,6.60,8,,0.00,0,,23.47,12,,1.38,21.65,0.00,76.98
bclf1_mcp_p03226_p0c703_p0c704,1.96,6,,3.25,15,,0.00,0,,20.46,19,,7.62,12.66,0.00,79.71
bplf1_p03186_q1hvh9_q3ksu8,0.33,1,,2.35,5,,0.00,0,,19.53,8,,1.50,10.58,0.00,87.92
barf1_p03228_p0c6n0_p0c701_p0cap6_p0cap7_p0cw72,1.92,3,,18.49,19,,0.00,0,,1.81,4,,8.63,83.22,0.00,8.15
balf2_dbp_p03227_q1hvb8_q3ksn9,1.13,4,,18.39,20,,0.33,1,,9.54,9,,3.86,62.57,1.13,32.44
bglf5_p03217_q1hve7_q3ksr5,4.50,6,,17.37,12,,0.00,0,,4.32,8,,17.18,66.32,0.00,16.50
ebna2_p12978_q3ksv2_q69022,2.73,10,,15.99,34,,0.00,0,,2.98,7,,12.59,73.69,0.00,13.72
ebna1_p03211_q1hvf7_q3kss4,5.37,19,,15.68,45,,0.00,0,,1.52,7,,23.81,69.45,0.00,6.74
bllf1_p03200_p68343_p68344,0.95,6,,3.31,9,,0.00,0,,13.75,11,,5.28,18.36,0.00,76.36
bmlf1_bslf2_q04360_q1hvh2_q3ksu1,5.46,8,,10.86,17,,0.00,0,,4.14,7,,26.68,53.08,0.00,20.23
bdlf3_p03224,0.11,1,,2.43,4,,0.00,0,,10.75,6,,0.84,18.27,0.00,80.89
balf4_p03188_p0c762_p0c763,1.29,5,,1.77,7,,0.00,0,,10.69,9,,9.37,12.87,0.00,77.77
blrf2_p03197_p0c717_q3kst5,0.00,0,,1.33,5,,0.00,0,,10.55,7,,0.00,11.22,0.00,88.78
bsrf1_p0ck49_p0ck50_p0ck62,0.00,0,,4.12,2,,0.00,0,,10.40,2,,0.00,28.36,0.00,71.64
bdlf4_p0ck56_p0ck57,0.10,1,,2.50,3,,0.00,0,,10.34,5,,0.77,19.35,0.00,79.88
bglf2_p0ck53_p0ck54_p0ck55,1.17,1,,2.38,4,,0.00,0,,9.24,5,,9.12,18.62,0.00,72.26
bblf2_p30118,0.12,1,,8.76,6,,0.00,0,,2.69,2,,1.08,75.68,0.00,23.24
borf2_p03190_p0c702_q3ksu5,2.01,2,,8.51,5,,0.00,0,,5.03,5,,12.94,54.73,0.00,32.33
bflf2_p0ck47_p0ck48,0.14,1,,8.00,3,,0.00,0,,0.51,2,,1.65,92.41,0.00,5.94
bfrf1_p03185,1.31,3,,7.99,8,,0.00,0,,4.36,2,,9.58,58.50,0.00,31.92
btrf1_p0c734_p30119_q1hvd3,0.00,0,,2.55,2,,0.00,0,,7.60,4,,0.00,25.11,0.00,74.89
lmp2_p0c729_p13285_q1hvj2,0.29,2,,7.56,8,,0.00,0,,0.50,1,,3.43,90.58,0.00,5.99
bdlf1_p25214,0.38,2,,1.19,3,,0.00,0,,7.46,7,,4.16,13.17,0.00,82.67
bnrf1_p03179_q1hvj0_q3ksv4,1.71,5,,6.70,10,,0.00,0,,5.49,7,,12.28,48.22,0.00,39.50
borf1_p03187_trx1,0.00,0,,1.91,4,,0.00,0,,6.64,3,,0.00,22.31,0.00,77.69
brrf1_p03207_p0c722_p0c723,0.83,1,,6.00,4,,0.00,0,,1.46,3,,10.05,72.35,0.00,17.60
bdlf2_p03225_p0c742_q3ksq7,0.00,0,,0.12,1,,0.00,0,,5.77,1,,0.00,2.12,0.00,97.88
blrf1_p03196_p0c6z3_p0c6z4,0.00,0,,1.41,2,,0.00,0,,5.74,2,,0.00,19.69,0.00,80.31
bfrf2_p14347,0.00,0,,4.88,3,,0.00,0,,5.62,4,,0.00,46.46,0.00,53.54
bmrf2_p03192_q1hvh3_q3ksu2,0.00,0,,5.59,3,,0.00,0,,1.06,2,,0.00,84.05,0.00,15.95
balf1_p0ck58_p0ck59,0.34,2,,5.53,12,,0.00,0,,1.00,1,,4.90,80.53,0.00,14.57
balf5_p03198_q1hvc1_q3ksp1,0.73,3,,4.87,10,,0.00,0,,1.99,5,,9.65,64.16,0.00,26.19
bilf1_p03208,3.95,2,,3.03,8,,0.00,0,,4.60,7,,34.09,26.17,0.00,39.74
bhlf1_p03181,0.00,0,,4.51,8,,0.11,1,,0.11,1,,0.00,95.30,2.35,2.35
bzlf2_p03205_p0c6z5_q1hvg2,0.00,0,,0.82,3,,0.00,0,,3.96,4,,0.00,17.17,0.00,82.83
bblf4_p03214,0.35,2,,3.88,5,,0.00,0,,0.64,3,,7.20,79.73,0.00,13.08
bxrf1_p03232,0.00,0,,1.51,2,,0.00,0,,3.68,2,,0.00,29.11,0.00,70.89
bblf1_p0ck51_p0ck52,0.00,0,,3.61,2,,0.00,0,,0.75,1,,0.00,82.81,0.00,17.19
bxlf2_p03231_q1hvd2_q3ksq3,0.14,1,,0.97,3,,0.00,0,,3.38,6,,3.18,21.56,0.00,75.25
bkrf3_p12888_ung,0.17,1,,3.18,4,,0.00,0,,0.69,3,,4.14,78.77,0.00,17.09
bbrf3_p03215_q1hve9_q3ksr7,0.17,1,,1.31,2,,0.00,0,,3.13,4,,3.61,28.46,0.00,67.93
bvrf2_p03234_q1hvc7_q3ksp9,0.11,1,,0.79,3,,0.00,0,,2.62,4,,3.15,22.48,0.00,74.37
bkrf4_p0c724_p30117_q3kss1,0.00,0,,2.60,3,,0.00,0,,0.95,5,,0.00,73.18,0.00,26.82
bslf1_p03193,0.00,0,,2.51,4,,0.00,0,,1.70,4,,0.00,59.64,0.00,40.36
ebna-lp_p0c732_q1hvi8_q8azk7,0.42,2,,2.50,6,,0.00,0,,0.00,0,,14.30,85.70,0.00,0.00
bllf3_p03195_q07275_q3kst7,0.00,0,,2.39,3,,0.00,0,,0.37,3,,0.00,86.68,0.00,13.32
bxlf1_p03177_q1hvd1_q3ksq2,0.25,1,,2.38,4,,0.00,0,,2.21,3,,5.17,49.11,0.00,45.72
bllf2_p03199_p68345_q3kst3,0.00,0,,2.37,3,,0.00,0,,1.68,4,,0.00,58.52,0.00,41.48
balf3_p25939,0.37,1,,2.35,4,,0.00,0,,1.67,2,,8.36,53.64,0.00,38.00
bvrf1_p03233_p0c705_p0c706,0.00,0,,2.20,1,,0.00,0,,1.49,2,,0.00,59.69,0.00,40.31
lf2_p0c725_p0c726_q3ksp5,0.35,2,,1.88,2,,0.00,0,,1.13,2,,10.43,55.95,0.00,33.62
bilf2_p03218,0.00,0,,1.36,3,,0.00,0,,1.70,3,,0.00,44.46,0.00,55.54
bglf1_p03222,0.12,1,,0.31,1,,0.00,0,,1.60,1,,6.14,15.21,0.00,78.64
bolf1_p03189_q1hvh8_q3ksu7,0.00,0,,0.31,2,,0.00,0,,1.33,2,,0.00,18.84,0.00,81.16
bnlf2b_p0c733_q1hvb5_q8azj3,0.50,1,,1.27,2,,0.00,0,,0.36,1,,23.50,59.53,0.00,16.97
bbrf1_p03213_q1hvf2_q3ksr9,0.00,0,,0.47,2,,0.00,0,,1.12,3,,0.00,29.40,0.00,70.60
bkrf2_p03212_q1hvf6_q3kss3,0.00,0,,1.03,3,,0.00,0,,0.91,2,,0.00,53.14,0.00,46.86
bflf1_p03184,0.00,0,,0.97,1,,0.00,0,,0.84,1,,0.00,53.63,0.00,46.37
ebna3_p12977_q3kst2_q69138,0.38,2,,0.79,4,,0.00,0,,0.00,0,,32.31,67.69,0.00,0.00
brrf2_p03210_q1hvf8_q3kss5,0.50,1,,0.67,2,,0.00,0,,0.68,2,,26.97,36.17,0.00,36.86
bbrf2_p0c6z9_p29882_q3ksr8,0.00,0,,0.12,1,,0.00,0,,0.65,2,,0.00,16.22,0.00,83.78
lf3_p0c727_p0c728,0.00,0,,0.60,2,,0.00,0,,0.12,1,,0.00,82.76,0.00,17.24
ebna6_p03204_q3kst0_q69140,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
lf1_q1hvc3_q3ksp4_q8azj5,0.21,1,,0.12,1,,0.00,0,,0.17,1,,41.99,24.86,0.00,33.15
q3ksp3_q9q2p0_rpms1,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
