Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
f5hc97_p16790_ul44,9.41,20,,35.23,36,,3.48,4,,26.39,29,,12.63,47.28,4.67,35.42
f5hgq8_ul138,22.50,19,,0.64,4,,0.00,0,,0.67,3,,94.51,2.70,0.00,2.79
f5hi87_p13200_ul99,9.59,9,,5.12,10,,0.14,1,,21.10,23,,26.68,14.25,0.40,58.67
p06725_p18139_q6sw59_ul83,20.23,10,,2.35,8,,2.00,1,,6.46,9,,65.18,7.56,6.44,20.81
f5hgt1_mcp_p16729_ul86,3.36,8,,5.31,10,,2.28,3,,19.34,19,,11.08,17.55,7.52,63.85
p06434_p06435_p19893_q6sw29_q6swp7_ul122,18.93,23,,4.04,6,,0.12,1,,0.36,2,,80.71,17.21,0.53,1.54
f5hcm1_p03169_p13202_ul123,17.89,33,,2.89,8,,0.00,0,,2.88,6,,75.63,12.21,0.00,12.16
f5hf62_p69332_p69333_us28,14.24,15,,9.55,15,,0.00,0,,10.33,9,,41.74,27.99,0.00,30.27
p08546_q6sw77_ul54,8.09,14,,12.93,18,,1.10,2,,7.20,11,,27.60,44.11,3.75,24.55
b9vxk4_f5hc16_p16812_ul34,1.27,1,,7.50,2,,0.00,0,,12.13,2,,6.07,35.88,0.00,58.05
p16782_q6sw87_ul45,0.31,1,,0.00,0,,0.33,1,,10.40,5,,2.80,0.00,3.02,94.18
p09727_q6svz5_q8uzk5_us11,9.62,11,,3.61,9,,0.00,0,,5.99,9,,50.03,18.80,0.00,31.17
p09714_q6sw03_us1,8.05,9,,3.16,4,,0.00,0,,0.78,3,,67.17,26.34,0.00,6.49
p08318_q6sw99_ul32,2.33,5,,1.54,4,,0.00,0,,7.73,6,,20.07,13.24,0.00,66.68
f5hb40_p16727_p29839_ul84,1.62,3,,6.89,5,,0.00,0,,1.39,3,,16.34,69.64,0.00,14.02
f5hac7_p16800_ul94,0.69,1,,0.42,3,,0.00,0,,6.33,7,,9.32,5.67,0.00,85.01
b9vxd7_f5heu0_p09712_us3,6.21,12,,2.48,9,,0.00,0,,1.85,7,,58.94,23.54,0.00,17.52
c0h677_p16764_q6swa3_ul29,1.73,5,,4.97,7,,0.33,1,,0.12,1,,24.20,69.40,4.66,1.75
d5lx59_p16785_q6sw84_ul48,2.05,5,,0.54,2,,0.50,1,,4.40,4,,27.40,7.23,6.67,58.70
dbp_f5hdq6_p17147_ul57,0.17,1,,4.32,8,,0.00,0,,4.06,6,,1.95,50.54,0.00,47.51
p16778_q6sw94_ul37,4.18,9,,0.84,5,,0.00,0,,0.72,3,,72.84,14.64,0.00,12.52
irs1_p09715_q6sw04,2.43,5,,4.17,3,,0.00,0,,1.28,3,,30.87,52.85,0.00,16.28
f5hay6_p16767_ul36,3.80,10,,3.73,13,,0.00,0,,2.93,7,,36.29,35.69,0.00,28.03
f5hdc7_p09722_us22,0.87,2,,3.79,5,,0.00,0,,0.00,0,,18.60,81.40,0.00,0.00
f5hg68_p16757_ul16,0.30,2,,2.69,5,,0.00,0,,3.77,2,,4.44,39.86,0.00,55.70
p16730_q6sw55_ul87,0.00,0,,1.12,2,,0.00,0,,3.73,5,,0.00,23.03,0.00,76.97
f5hb53_p06473_p13201_ul55,0.45,3,,0.23,2,,0.20,1,,3.65,6,,9.95,4.98,4.42,80.65
p14334_p60528_q6sw00_us6,0.85,4,,3.41,7,,0.00,0,,2.51,3,,12.55,50.38,0.00,37.07
f5hgc2_p16765_ul30,3.27,7,,3.38,8,,0.00,0,,2.37,5,,36.25,37.50,0.00,26.25
f5hfj7_p09728_us10,0.00,0,,0.23,1,,0.00,0,,3.19,3,,0.00,6.59,0.00,93.41
f5ha93_p16783_ul46,0.82,2,,0.77,2,,0.00,0,,3.17,4,,17.20,16.12,0.00,66.67
p09695_q6svx2_trs1,3.04,4,,0.41,3,,0.00,0,,0.45,3,,77.99,10.54,0.00,11.47
f5he05_p09713_p60503_us2,2.96,9,,2.95,8,,0.00,0,,0.22,2,,48.33,48.04,0.00,3.62
f5het1_p16751_ul78,0.12,1,,2.77,4,,0.00,0,,0.77,3,,3.42,75.60,0.00,20.98
f5hgg3_p16762_ul26,1.21,5,,2.62,2,,0.00,0,,1.51,5,,22.68,49.11,0.00,28.21
d5lx53_f5hhz3_p16815_ul42,1.23,1,,2.59,4,,0.00,0,,0.64,1,,27.62,57.98,0.00,14.40
