Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
icp4_p90493_rs1,74.77,80,,20.75,45,,0.11,1,,9.72,30,,70.97,19.69,0.11,9.23
p89479_us11,6.47,12,,4.79,10,,0.00,0,,15.48,13,,24.18,17.92,0.00,57.90
p28276_ul54,15.10,15,,6.26,11,,1.00,1,,2.57,6,,60.58,25.10,4.01,10.31
icp8_p36384_p89452_ul29,5.86,11,,13.48,15,,0.33,1,,6.08,10,,22.75,52.35,1.29,23.60
p14379_p89474_us1,6.93,7,,1.08,3,,0.00,0,,0.57,3,,80.73,12.63,0.00,6.64
p14345_p60504_us12,6.45,6,,0.00,0,,0.00,0,,1.45,2,,81.64,0.00,0.00,18.36
p03173_p06475_q89730_ul44,2.09,4,,5.34,6,,1.50,1,,1.78,4,,19.50,49.86,14.01,16.63
mcp_p89442_ul19,0.51,2,,0.44,2,,0.33,1,,4.97,4,,8.14,7.10,5.33,79.43
p28281_ul55,0.33,2,,0.00,0,,0.20,1,,4.84,3,,6.05,0.00,3.72,90.22
p06763_p08666_p24994_ul27,1.26,5,,1.20,2,,0.00,0,,4.25,3,,18.79,17.88,0.00,63.33
p28284_rl2,3.94,5,,0.28,1,,0.00,0,,0.21,2,,88.95,6.28,0.00,4.77
p89439_ul16,0.10,1,,0.39,2,,0.00,0,,3.60,1,,2.44,9.60,0.00,87.95
p89438_ul15,0.00,0,,1.52,2,,0.00,0,,3.54,1,,0.00,30.00,0.00,70.00
p28282_ul56,0.62,2,,2.90,2,,0.00,0,,2.94,3,,9.67,44.83,0.00,45.50
p89478_us10,0.00,0,,0.56,2,,0.00,0,,2.79,1,,0.00,16.67,0.00,83.33
p89459_ul36,0.37,1,,1.57,3,,0.33,1,,2.62,4,,7.50,32.10,6.82,53.58
p89466_ul46,0.82,2,,1.07,2,,0.17,1,,2.39,2,,18.42,24.05,3.75,53.78
p89446_ul23,0.83,2,,2.00,2,,0.25,1,,2.33,3,,15.27,36.97,4.62,43.13
p13287_us3,2.33,8,,0.68,5,,0.00,0,,1.70,6,,49.48,14.38,0.00,36.13
p89468_ul49,0.00,0,,2.15,5,,0.50,2,,1.15,2,,0.00,56.55,13.14,30.30
p68335_p68336_ul48,2.09,6,,0.46,2,,0.00,0,,0.37,3,,71.65,15.72,0.00,12.62
p22486_p89461_ul38,0.29,2,,0.00,0,,0.00,0,,2.00,2,,12.73,0.00,0.00,87.27
p89463_ul42,1.33,2,,1.92,1,,0.00,0,,0.64,1,,34.25,49.24,0.00,16.51
p03172_q69467_us6,0.33,1,,0.66,3,,0.00,0,,1.71,2,,12.32,24.44,0.00,63.24
p89437_ul14,0.37,1,,0.30,1,,0.00,0,,1.57,2,,16.40,13.42,0.00,70.19
o39988_p68339_p68340_ul41,0.87,5,,1.31,3,,0.00,0,,1.20,1,,25.70,38.77,0.00,35.53
p89454_ul31,0.00,0,,0.47,2,,0.00,0,,1.29,1,,0.00,26.59,0.00,73.41
p22485_ul53,1.25,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p89469_ul50,0.10,1,,1.20,2,,1.00,1,,0.00,0,,4.35,52.17,43.48,0.00
p89462_ul39,0.25,2,,1.20,4,,0.50,1,,0.50,3,,10.33,48.82,20.34,20.50
p28283_rl1,0.37,2,,0.25,1,,0.00,0,,0.91,1,,24.09,16.42,0.00,59.49
p28277_ul5,0.59,2,,0.75,2,,0.00,0,,0.35,1,,34.95,44.54,0.00,20.51
p89429_ul6,0.17,1,,0.20,1,,0.00,0,,0.75,2,,14.93,17.91,0.00,67.16
p89430_ul7,0.72,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p89436_ul13,0.72,2,,0.33,1,,0.00,0,,0.62,3,,43.11,19.91,0.00,36.98
p89458_scp,0.71,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
