Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
orf63_orf70_p09255_q77nn7,7.30,8,,1.29,3,,0.00,0,,1.03,4,,75.84,13.42,0.00,10.74
dbp_orf29_p09246_q4jqu6,1.50,2,,4.59,2,,0.00,0,,5.37,5,,13.08,40.05,0.00,46.87
orf50_p09298_q77np2,5.20,8,,4.53,3,,0.00,0,,1.25,2,,47.36,41.22,0.00,11.42
orf62_orf71_p09310_q8azm1,4.55,6,,0.36,2,,0.00,0,,0.74,3,,80.58,6.39,0.00,13.03
orf57_p09305_q77nn9,1.68,3,,3.88,6,,0.00,0,,2.65,5,,20.47,47.23,0.00,32.31
orf4_p09269_q4jqx1,2.72,5,,0.00,0,,0.00,0,,0.27,1,,91.07,0.00,0.00,8.93
orf59_p09307_q9j3n2,1.33,1,,2.44,3,,0.00,0,,1.43,2,,25.59,46.89,0.00,27.51
orf65_p09312_q77nn6,0.53,1,,1.33,1,,0.00,0,,2.20,2,,13.11,32.79,0.00,54.10
orf10_p09265_q4jqw5,1.69,6,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
mcp_p09245,0.10,1,,0.90,3,,0.00,0,,1.62,5,,3.82,34.41,0.00,61.77
orf1_p09266_q4jqx4,0.43,1,,1.27,3,,0.00,0,,0.00,0,,25.47,74.53,0.00,0.00
orf18_p09247_q4jqv7,1.00,1,,0.00,0,,0.00,0,,0.54,2,,65.12,0.00,0.00,34.88
orf47_p09296_q6yp73,0.31,2,,0.00,0,,0.00,0,,0.50,1,,38.24,0.00,0.00,61.76
orf11_p09263_q4jqw4,0.50,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
orf6_p09270_q4jqw9,0.00,0,,0.49,2,,0.00,0,,0.14,1,,0.00,77.49,0.00,22.51
orf31_p09257_q4jr05,0.00,0,,0.12,1,,0.00,0,,0.39,1,,0.00,24.14,0.00,75.86
orf36_p09250_p0c0e6,0.00,0,,0.00,0,,0.00,0,,0.36,2,,0.00,0.00,0.00,100.00
orf9_p09272_q4jqw6,0.00,0,,0.17,1,,0.00,0,,0.33,1,,0.00,33.33,0.00,66.67
orf2_p09267_q4jqx3,0.00,0,,0.29,2,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf67_p09258_q77nn4,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf8_p09254_q4jqw7,0.00,0,,0.00,0,,0.00,0,,0.25,1,,0.00,0.00,0.00,100.00
orf58_p09306_q9j3n3,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf48_p09253_q4jqs7,0.10,1,,0.20,1,,0.00,0,,0.00,0,,33.33,66.67,0.00,0.00
orf3_p09268_q4jqx2,0.00,0,,0.20,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf52_p09300_q9j3n6,0.17,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
orf49_p09297_q77np3,0.14,1,,0.12,1,,0.00,0,,0.00,0,,53.33,46.67,0.00,0.00
orf37_p09260_q775j3,0.00,0,,0.10,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
orf22_p09278_q4jqx9,0.00,0,,0.00,0,,0.00,0,,0.10,1,,0.00,0.00,0.00,100.00
